01;Open (default)  ;0.0  ;65000 ;110000;80000 ;0;1;1
02;Vect vortex msk ;45.0 ;88155 ;129350;88000 ;0;4;2
03;vAPP mask 1-1   ;94.0 ;109050;107700;60000 ;1;1;2
04;vAPP mask 1-2   ;94.0 ;35300 ;108150;60000 ;2;1;2
05;vAPP mask 1-3   ;94.0 ;109700;251900;60000 ;3;1;2
06;vAPP mask 1-4   ;94.0 ;38900 ;256700;60000 ;4;1;2
07;vAPP mask 2-1   ;94.0 ;124100;97900 ;60000 ;1;1;2
08;vAPP mask 2-2   ;94.0 ;43700 ;103100;60000 ;2;1;2
09;8 octant ph msk ;135.0;76280 ;130610;70000 ;0;6;2
10;Occulter 78mas  ;180.0;48780 ;33170 ;78000 ;1;2;2
11;Occulter 92mas  ;180.0;40350 ;117650;67000 ;2;2;2
12;Occulter 113mas ;180.0;48150 ;105400;70000 ;3;2;2
13;Occulter 139mas ;180.0;76100 ;209500;72000 ;4;2;2
14;Occulter 165mas ;180.0;85850 ;129000;70000 ;5;2;2
15;Occulter 198mas ;180.0;97450 ;46550 ;72000 ;6;2;2
16;Occulter 228mas ;180.0;126700;66200 ;72000 ;7;2;2
17;Occulter 262mas ;180.0;119400;149200;72000 ;8;2;2
18;Occulter 310mas ;180.0;115000;232600;72000 ;9;2;2
19;Open            ;225.0;65000 ;110000;80000 ;0;1;1
20;PIAACMC msk A1  ;270.0;29600 ;39000 ;47000 ;1;5;2
21;PIAACMC msk A2  ;270.0;75700 ;38600 ;47000 ;2;5;2
22;PIAACMC msk A3  ;270.0;118000;32000 ;47000 ;3;5;2
23;PIAACMC msk A4  ;270.0;33000 ;87500 ;47000 ;4;5;2
24;PIAACMC msk A5  ;270.0;75000 ;87000 ;47000 ;5;5;2
25;PIAACMC msk A6  ;270.0;117000;87000 ;47000 ;6;5;2
26;PIAACMC msk A7  ;270.0;44780 ;122460;75600 ;7;5;2
27;PIAACMC msk A8  ;270.0;75000 ;110000;47000 ;8;5;2
28;PIAACMC msk A9  ;270.0;117000;110000;47000 ;9;5;2
29;PIAACMC msk B1  ;315.0;60450 ;60400 ;64000 ;1;5;2
30;PIAACMC msk B2  ;315.0;98850 ;60850 ;64000 ;2;5;2
31;PIAACMC msk B3  ;315.0;130000;60000 ;64000 ;3;5;2
32;PIAACMC msk B4  ;315.0;60050 ;139440;64000 ;4;5;2
33;PIAACMC msk B5  ;315.0;97800 ;140700;64000 ;5;5;2
34;PIAACMC msk B6  ;315.0;130000;140000;64000 ;6;5;2
35;PIAACMC msk B7  ;315.0;59800 ;218500;64000 ;7;5;2
36;PIAACMC msk B8  ;315.0;97600 ;219650;64000 ;8;5;2
37;PIAACMC msk B9  ;315.0;130000;220000;64000 ;9;5;2
