01;Open            ;0.0  ;65000 ;110000;80000 ;0;1;1
02;8 octant ph msk ;46.5 ;60000 ;107500;80000 ;0;6;2
03;vAPP mask 1-1   ;94.0 ;26500 ;119000;75000 ;1;1;2
04;vAPP mask 1-2   ;94.0 ;106500;99500 ;75000 ;2;1;2
05;Vect vortex msk ;137.5;60000 ;108000;100000;0;4;2
06;Open (default)  ;180.0;65000 ;110000;80000 ;0;1;1
07;Occulter 78mas  ;227.0;23000 ;193000;87000 ;1;2;2
08;Occulter 92mas  ;227.0;63000 ;194000;87000 ;2;2;2
09;Occulter 113mas ;227.0;103000;195500;87000 ;3;2;2
10;Occulter 139mas ;227.0;103000;111000;87000 ;4;2;2
11;Occulter 165mas ;227.0;63500 ;110000;87000 ;5;2;2
12;Occulter 198mas ;227.0;23500 ;109000;87000 ;6;2;2
13;Occulter 228mas ;227.0;24000 ;25000 ;87000 ;7;2;2
14;Occulter 262mas ;227.0;64000 ;26000 ;87000 ;8;2;2
15;Occulter 310mas ;227.0;104500;27000 ;87000 ;9;2;2
16;PIAACMC msk A1  ;272.0;63500 ;18500 ;90000 ;1;5;2
17;PIAACMC msk A2  ;272.0;75000 ;110000;90000 ;2;5;2
18;PIAACMC msk A3  ;272.0;106000;12500 ;90000 ;3;5;2
19;PIAACMC msk A4  ;272.0;24000 ;113500;90000 ;4;5;2
20;PIAACMC msk A5  ;272.0;62000 ;107500;90000 ;5;5;2
21;PIAACMC msk A6  ;272.0;21000 ;24500 ;90000 ;6;5;2
22;PIAACMC msk A7  ;272.0;24500 ;238000;90000 ;7;5;2
23;PIAACMC msk A8  ;272.0;64500 ;232500;90000 ;8;5;2
24;PIAACMC msk A9  ;272.0;109000;227000;90000 ;9;5;2
25;PIAACMC msk B1  ;317.5;28500 ;63500 ;80000 ;1;5;2
26;PIAACMC msk B2  ;317.5;66000 ;48000 ;80000 ;2;5;2
27;PIAACMC msk B3  ;317.5;102500;33000 ;80000 ;3;5;2
28;PIAACMC msk B4  ;317.5;36000 ;141000;80000 ;4;5;2
29;PIAACMC msk B5  ;317.5;73000 ;125500;80000 ;5;5;2
30;PIAACMC msk B6  ;317.5;110000;110000;80000 ;6;5;2
31;PIAACMC msk B7  ;317.5;43500 ;218500;80000 ;7;5;2
32;PIAACMC msk B8  ;317.5;80500 ;203000;80000 ;8;5;2
33;(PIAACMC msk B9);320.4;125000;240000;80000 ;9;5;2
