
2021-04-07 11:03:33,184 | E | Instrument.py:173 (loadPersonality) | Error loading instrument personality 'SCEXAO': No module named 'SCEXAO'
2021-04-07 11:03:33,184 | E | Instrument.py:174 (loadPersonality) | sys.path is './cams:/home/scexao/anaconda3/bin:/home/scexao/anaconda3/lib/python37.zip:/home/scexao/anaconda3/lib/python3.7:/home/scexao/anaconda3/lib/python3.7/lib-dynload:/home/scexao/.local/lib/python3.7/site-packages:/home/scexao/.local/lib/python3.7/site-packages/xara-1.1.0-py3.7.egg:/home/scexao/.local/lib/python3.7/site-packages/fpao_tools-1.0.0-py3.7.egg:/home/scexao/.local/lib/python3.7/site-packages/PyQt5_sip-4.19.17-py3.7-linux-x86_64.egg:/home/scexao/.local/lib/python3.7/site-packages/xaosim-1.0.0-py3.7.egg:/home/scexao/anaconda3/lib/python3.7/site-packages:/home/scexao/vdeo/pyMilk:/home/scexao/src/scxkw:/home/scexao/anaconda3/lib/python3.7/site-packages/g2cam/cams/SCEXAO'
2021-04-07 11:03:33,184 | E | Instrument.py:175 (loadPersonality) | Instrument personality not loaded!
2021-04-07 11:03:33,237 | I | PubSub.py:538 (start) | PubSub background tasks started.
2021-04-07 11:03:33,238 | I | PubSub.py:1084 (start_server) | Starting remote subscriptions update loop...
2021-04-07 11:03:33,239 | I | PubSub.py:1089 (start_server) | Starting server...
2021-04-07 11:03:33,239 | I | remoteObjects.py:444 (__cmd_loop) | Starting remote object server on scexao2:9080.
2021-04-07 11:03:33,245 | I | g2cam:120 (main) | Starting instrument SCEXAO ...
2021-04-07 11:03:33,245 | I | ro_XMLRPC.py:319 (worker) | worker 1 spinning up...
2021-04-07 11:03:33,245 | I | ro_XMLRPC.py:319 (worker) | worker 2 spinning up...
2021-04-07 11:03:33,245 | I | ro_XMLRPC.py:319 (worker) | worker 0 spinning up...
2021-04-07 11:03:33,246 | I | ro_XMLRPC.py:319 (worker) | worker 3 spinning up...
2021-04-07 11:03:33,246 | I | ro_XMLRPC.py:319 (worker) | worker 5 spinning up...
2021-04-07 11:03:33,247 | I | ro_XMLRPC.py:319 (worker) | worker 6 spinning up...
2021-04-07 11:03:33,247 | I | ro_XMLRPC.py:319 (worker) | worker 4 spinning up...
2021-04-07 11:03:33,246 | E | Instrument.py:303 (ui) | ERROR: No personality loaded for 'SCExAO'!
2021-04-07 11:03:33,247 | I | ro_XMLRPC.py:319 (worker) | worker 7 spinning up...
2021-04-07 11:03:33,247 | I | ro_XMLRPC.py:319 (worker) | worker 8 spinning up...
2021-04-07 11:03:33,248 | I | ro_XMLRPC.py:319 (worker) | worker 9 spinning up...
